Date,Price,Open,High,Low,Change %,
26-Jul-10,1.1102,1.1166,1.1169,1.1102,-0.64%,7/26/2010
23-Jul-10,1.1174,1.1178,1.1181,1.1174,-0.04%,7/23/2010
22-Jul-10,1.1178,1.1397,1.1402,1.1178,-1.92%,7/22/2010
21-Jul-10,1.1397,1.1314,1.1397,1.131,0.73%,7/21/2010
20-Jul-10,1.1314,1.151,1.1511,1.1314,-1.70%,7/20/2010
19-Jul-10,1.151,1.1581,1.1582,1.151,0.04%,7/19/2010
16-Jul-10,1.1505,1.1354,1.1505,1.1346,1.33%,7/16/2010
15-Jul-10,1.1354,1.1346,1.1354,1.1345,0.07%,7/15/2010
14-Jul-10,1.1346,1.1324,1.1346,1.1323,0.19%,7/14/2010
13-Jul-10,1.1324,1.1407,1.141,1.1324,-0.73%,7/13/2010
12-Jul-10,1.1407,1.141,1.1412,1.1407,0.13%,7/12/2010
9-Jul-10,1.1392,1.1399,1.1401,1.1392,-0.06%,7/9/2010
8-Jul-10,1.1399,1.1583,1.1583,1.1399,-1.59%,7/8/2010
7-Jul-10,1.1583,1.1726,1.1728,1.1583,-1.22%,7/7/2010
6-Jul-10,1.1726,1.1973,1.1974,1.1702,-2.06%,7/6/2010
5-Jul-10,1.1973,1.1911,1.1973,1.1907,0.79%,7/5/2010
2-Jul-10,1.1879,1.1838,1.1879,1.1837,0.35%,7/2/2010
1-Jul-10,1.1838,1.1882,1.1955,1.1838,-0.37%,7/1/2010
30-Jun-10,1.1882,1.1768,1.1882,1.1762,0.97%,6/30/2010
29-Jun-10,1.1768,1.1479,1.1768,1.1477,2.52%,6/29/2010
28-Jun-10,1.1479,1.1442,1.1479,1.1441,0.38%,6/28/2010
25-Jun-10,1.1435,1.1531,1.154,1.1435,-0.83%,6/25/2010
24-Jun-10,1.1531,1.1424,1.1531,1.1422,0.94%,6/24/2010
23-Jun-10,1.1424,1.1477,1.148,1.1424,-0.46%,6/23/2010
22-Jun-10,1.1477,1.1392,1.1477,1.139,0.75%,6/22/2010
21-Jun-10,1.1392,1.1369,1.1392,1.1367,-0.66%,6/21/2010
18-Jun-10,1.1468,1.1536,1.1537,1.1468,-0.59%,6/18/2010
17-Jun-10,1.1536,1.1599,1.16,1.1536,-0.54%,6/17/2010
16-Jun-10,1.1599,1.1577,1.1599,1.1576,0.19%,6/16/2010
15-Jun-10,1.1577,1.1661,1.1666,1.1577,-0.72%,6/15/2010
14-Jun-10,1.1661,1.1683,1.1685,1.1661,-0.82%,6/14/2010
11-Jun-10,1.1758,1.1772,1.1773,1.1758,-0.12%,6/11/2010
10-Jun-10,1.1772,1.2038,1.2039,1.1772,-2.21%,6/10/2010
9-Jun-10,1.2038,1.2131,1.2132,1.2038,-0.77%,6/9/2010
8-Jun-10,1.2131,1.2311,1.2311,1.2131,-1.46%,6/8/2010
7-Jun-10,1.2311,1.2235,1.2311,1.2233,1.37%,6/7/2010
4-Jun-10,1.2145,1.185,1.2145,1.1849,2.49%,6/4/2010
3-Jun-10,1.185,1.1865,1.1868,1.185,-0.13%,6/3/2010
2-Jun-10,1.1865,1.1988,1.1988,1.1865,-1.03%,6/2/2010
1-Jun-10,1.1988,1.1841,1.1988,1.1841,1.24%,6/1/2010
31-May-10,1.1841,1.1831,1.1841,1.1824,0.34%,5/31/2010
28-May-10,1.1801,1.1781,1.1801,1.1779,0.17%,5/28/2010
27-May-10,1.1781,1.2135,1.2137,1.1779,-2.92%,5/27/2010
26-May-10,1.2135,1.2107,1.2151,1.2067,0.23%,5/26/2010
25-May-10,1.2107,1.2144,1.215,1.2107,-0.30%,5/25/2010
24-May-10,1.2144,1.2096,1.2144,1.2014,0.95%,5/24/2010
21-May-10,1.203,1.2256,1.2256,1.203,-1.84%,5/21/2010
20-May-10,1.2256,1.1814,1.2268,1.1811,3.74%,5/20/2010
19-May-10,1.1814,1.1641,1.1815,1.1631,1.49%,5/19/2010
18-May-10,1.1641,1.141,1.1641,1.1404,2.02%,5/18/2010
17-May-10,1.141,1.1305,1.141,1.1302,1.09%,5/17/2010
14-May-10,1.1287,1.1165,1.1287,1.1164,1.09%,5/14/2010
13-May-10,1.1165,1.1174,1.1174,1.1165,-0.08%,5/13/2010
12-May-10,1.1174,1.1168,1.1174,1.1166,0.05%,5/12/2010
11-May-10,1.1168,1.1105,1.1168,1.1104,0.57%,5/11/2010
10-May-10,1.1105,1.1165,1.1175,1.1104,-1.37%,5/10/2010
7-May-10,1.1259,1.1256,1.1264,1.1248,0.03%,5/7/2010
6-May-10,1.1256,1.1027,1.1257,1.1027,2.08%,5/6/2010
5-May-10,1.1027,1.0979,1.1027,1.0977,0.44%,5/5/2010
4-May-10,1.0979,1.0801,1.0979,1.0799,1.65%,5/4/2010
3-May-10,1.0801,1.0802,1.0805,1.0798,-0.18%,5/3/2010
30-Apr-10,1.082,1.0756,1.082,1.0753,0.60%,4/30/2010
29-Apr-10,1.0756,1.083,1.0832,1.0756,-0.68%,4/29/2010
28-Apr-10,1.083,1.091,1.0913,1.083,-0.73%,4/28/2010
27-Apr-10,1.091,1.0772,1.091,1.0771,1.28%,4/27/2010
26-Apr-10,1.0772,1.0795,1.0796,1.0772,-0.06%,4/26/2010
23-Apr-10,1.0778,1.0868,1.0869,1.0778,-0.83%,4/23/2010
22-Apr-10,1.0868,1.0802,1.0868,1.0799,0.63%,4/22/2010
21-Apr-10,1.08,1.0727,1.0804,1.0703,0.69%,4/21/2010
20-Apr-10,1.0726,1.0801,1.0821,1.072,-0.88%,4/20/2010
19-Apr-10,1.0821,1.0844,1.092,1.0814,0.04%,4/19/2010
16-Apr-10,1.0817,1.0699,1.0837,1.0696,1.12%,4/16/2010
15-Apr-10,1.0697,1.0688,1.0743,1.0676,0.02%,4/15/2010
14-Apr-10,1.0695,1.0764,1.0785,1.0679,-0.68%,4/14/2010
13-Apr-10,1.0768,1.0801,1.0842,1.0756,-0.30%,4/13/2010
